HARP_NO,AR,Begin,End
3926,12022,2014-03-27 12:24:00,2014-04-05 03:24:00
185,11108,2010-09-15 20:00:00,2010-09-25 08:12:00
6889,12619,2016-12-18 04:00:00,2016-12-18 23:48:00
7229,12696,2018-01-14 04:36:00,2018-01-15 00:24:00
1658,11483,2012-05-12 12:36:00,2012-05-20 20:48:00
146,11102,2010-08-24 20:12:00,2010-09-02 07:24:00
393,11164,2011-02-25 05:24:00,2011-03-05 16:12:00
2635,11719,2013-04-05 14:24:00,2013-04-14 03:48:00
1300,11395,2012-01-07 01:48:00,2012-01-15 17:36:00
7003,12655,2017-05-04 11:12:00,2017-05-05 07:00:00
345,11147,2011-01-15 02:24:00,2011-01-23 12:12:00
437,11176,2011-03-21 10:48:00,2011-03-30 14:00:00
6320,12494,2016-02-03 06:24:00,2016-02-11 15:36:00
3258,11861,2013-10-06 05:00:00,2013-10-14 21:24:00
2634,11717,2013-04-05 11:24:00,2013-04-06 07:12:00
392,11163,2011-02-24 01:36:00,2011-03-04 09:24:00
2191,11613,2012-11-09 21:48:00,2012-11-19 05:36:00
5198,12288,2015-02-11 03:36:00,2015-02-19 13:24:00
3066,11820,2013-08-11 22:12:00,2013-08-20 06:12:00
2344,11644,2013-01-01 06:12:00,2013-01-10 14:36:00
6136,12458,2015-11-22 00:36:00,2015-11-30 09:00:00
6863,12612,2016-11-22 14:48:00,2016-11-30 23:12:00
190,11110,2010-09-22 03:36:00,2010-10-01 19:36:00
2387,11658,2013-01-12 07:12:00,2013-01-20 20:36:00
6693,12572,2016-08-04 08:36:00,2016-08-06 06:00:00
1705,11492,2012-05-24 20:00:00,2012-06-02 04:24:00
5211,12283,2015-02-12 09:00:00,2015-02-13 04:48:00
3648,11957,2014-01-17 11:12:00,2014-01-25 19:36:00
4133,12063,2014-05-13 14:12:00,2014-05-22 09:36:00
4872,12221,2014-11-25 16:12:00,2014-12-04 03:48:00
51,11080,2010-06-10 01:36:00,2010-06-10 22:00:00
1275,11393,2012-01-01 19:24:00,2012-01-10 05:12:00
2754,11752,2013-05-15 16:48:00,2013-05-16 13:12:00
6532,12541,2016-05-01 17:00:00,2016-05-10 10:00:00
5991,12427,2015-09-26 23:48:00,2015-10-05 08:00:00
2026,11569,2012-09-09 16:36:00,2012-09-19 22:36:00
1249,11390,2011-12-25 21:00:00,2012-01-03 06:48:00
86,11087,2010-07-08 11:12:00,2010-07-17 16:12:00
92,11089,2010-07-18 23:24:00,2010-07-27 07:48:00
580,11210,2011-05-05 09:00:00,2011-05-13 16:48:00
7189,12687,2017-11-13 09:12:00,2017-11-21 18:12:00
5956,12415,2015-09-10 16:12:00,2015-09-19 18:12:00
1271,11392,2011-12-30 13:24:00,2012-01-07 23:12:00
6250,12482,2016-01-07 14:00:00,2016-01-08 09:48:00
4321,12109,2014-07-01 22:24:00,2014-07-10 13:36:00
2750,11750,2013-05-15 01:00:00,2013-05-15 21:24:00
4862,12217,2014-11-22 15:48:00,2014-12-01 07:00:00
976,11324,2011-10-17 02:24:00,2011-10-25 16:12:00
5598,12352,2015-05-19 18:36:00,2015-05-28 03:24:00
1701,11490,2012-05-23 14:24:00,2012-06-01 01:12:00
2220,11618,2012-11-15 22:12:00,2012-11-26 06:24:00
2546,11692,2013-03-09 00:00:00,2013-03-18 04:24:00
5229,12287,2015-02-17 20:48:00,2015-02-18 16:36:00
3894,12017,2014-03-21 06:00:00,2014-03-29 17:00:00
6052,12445,2015-10-22 05:12:00,2015-10-30 19:24:00
5361,12309,2015-03-21 16:12:00,2015-03-22 12:00:00
1113,11358,2011-11-22 10:24:00,2011-11-30 18:12:00
625,11223,2011-05-24 04:12:00,2011-06-01 15:00:00
5375,12315,2015-03-23 07:36:00,2015-03-31 17:36:00
6898,12624,2016-12-27 17:24:00,2016-12-28 16:00:00
1488,11438,2012-03-19 16:00:00,2012-03-28 16:24:00
2181,11610,2012-11-05 23:00:00,2012-11-14 07:24:00
4296,12108,2014-06-28 04:48:00,2014-07-06 13:48:00
355,11150,2011-01-27 23:24:00,2011-02-05 07:12:00
3248,11856,2013-10-01 18:00:00,2013-10-10 14:36:00
6324,12495,2016-02-03 19:24:00,2016-02-04 15:12:00
2143,11599,2012-10-22 23:24:00,2012-10-31 08:24:00
1338,11408,2012-01-20 16:24:00,2012-01-29 14:24:00
6319,12493,2016-02-02 23:36:00,2016-02-03 20:36:00
2619,11714,2013-04-01 00:00:00,2013-04-10 05:48:00
7013,12656,2017-05-15 09:36:00,2017-05-23 17:48:00
5823,12393,2015-07-27 20:00:00,2015-08-05 05:24:00
618,11220,2011-05-22 01:00:00,2011-05-22 20:48:00
2433,11665,2013-01-28 05:48:00,2013-02-05 20:00:00
4042,12045,2014-04-18 21:36:00,2014-04-27 11:48:00
156,11105,2010-09-02 02:12:00,2010-09-02 22:00:00
7211,12692,2017-12-18 18:24:00,2017-12-27 09:00:00
3711,11971,2014-02-02 17:48:00,2014-02-11 11:36:00
803,11274,2011-08-19 15:36:00,2011-08-28 02:24:00
6866,12613,2016-11-26 21:12:00,2016-11-27 17:00:00
4888,12227,2014-12-02 01:24:00,2014-12-10 09:36:00
1066,11346,2011-11-11 13:12:00,2011-11-19 21:00:00
750,11261,2011-07-25 21:00:00,2011-08-03 07:12:00
4678,12187,2014-10-11 11:12:00,2014-10-19 19:24:00
3103,11828,2013-08-18 10:24:00,2013-08-26 18:48:00
744,11262,2011-07-20 20:12:00,2011-07-29 07:00:00
3856,12010,2014-03-14 21:24:00,2014-03-24 00:24:00
6084,12452,2015-11-09 11:24:00,2015-11-17 21:24:00
5758,12384,2015-07-07 09:00:00,2015-07-16 01:12:00
2037,11573,2012-09-15 05:24:00,2012-09-25 16:36:00
6537,12542,2016-05-03 19:00:00,2016-05-12 11:48:00
6523,12539,2016-04-27 12:12:00,2016-05-06 02:36:00
40,11075,2010-05-28 06:24:00,2010-05-29 02:12:00
5002,12251,2014-12-26 02:24:00,2015-01-03 12:12:00
3473,11917,2013-12-06 13:24:00,2013-12-14 21:12:00
2779,11757,2013-05-24 17:00:00,2013-06-02 01:24:00
220,11115,2010-10-14 08:24:00,2010-10-22 17:12:00
54,11081,2010-06-11 06:24:00,2010-06-12 02:12:00
83,11086,2010-07-04 08:12:00,2010-07-05 04:00:00
587,11208,2011-05-07 12:48:00,2011-05-15 20:36:00
2790,11762,2013-05-26 02:00:00,2013-06-03 10:24:00
7171,12686,2017-10-22 11:36:00,2017-10-30 19:36:00
1500,11445,2012-03-22 23:24:00,2012-03-31 19:00:00
5772,12386,2015-07-11 21:12:00,2015-07-20 05:24:00
5982,12423,2015-09-22 07:00:00,2015-09-23 03:00:00
6247,12481,2016-01-07 06:00:00,2016-01-08 01:48:00
1528,11450,2012-03-30 05:24:00,2012-04-07 20:12:00
2021,11567,2012-09-06 10:24:00,2012-09-15 13:48:00
5028,12262,2015-01-04 21:00:00,2015-01-13 05:12:00
6910,12626,2017-01-11 21:48:00,2017-01-20 12:00:00
975,11321,2011-10-16 23:00:00,2011-10-17 18:48:00
6938,12631,2017-01-30 08:36:00,2017-01-31 04:24:00
1931,11543,2012-08-06 11:12:00,2012-08-15 19:00:00
